pipeline,fact_day,n_weeks,mean,ci_lower,ci_upper
neutral,1,15,0.5000,0.3778,0.6222
neutral,2,15,0.6222,0.4444,0.8000
neutral,3,15,0.6500,0.4778,0.8111
neutral,4,15,0.7222,0.5667,0.8556
neutral,5,15,0.7222,0.5556,0.8667
neutral,6,15,0.9333,0.8667,1.0000
neutral,7,15,1.0000,1.0000,1.0000
stylized,1,15,0.0667,0.0000,0.1833
stylized,2,15,0.0222,0.0000,0.0667
stylized,3,15,0.1111,0.0000,0.2444
stylized,4,15,0.0833,0.0000,0.1889
stylized,5,15,0.0667,0.0000,0.1333
stylized,6,15,0.2556,0.1333,0.3889
stylized,7,15,0.8556,0.7722,0.9333
decoupled,1,15,0.9278,0.8611,0.9833
decoupled,2,15,0.8889,0.7556,1.0000
decoupled,3,15,0.9056,0.7833,1.0000
decoupled,4,15,0.9333,0.8667,1.0000
decoupled,5,15,0.9778,0.9333,1.0000
decoupled,6,15,0.9556,0.8889,1.0000
decoupled,7,15,0.9167,0.7833,1.0000
